address,raw_amount
db04245ea9435a886dec01f317166af0290b37624517756ef366003f6f45ab71,100
1405d3a934c43d1dbb90245ac88dcd917d026cf765ce3a0c44f9656f5b5c97af,100
98e537eb2174dfe38fdf66170648bb64c003e9afa39c3033dd3bf2009937a2a4,100
54e847d0e9c29c05c79881ebcf51c3f64b3e6177d4617209173c01061a198b47,100
d1bc01ac6bb6da5048ab28f8a2ac32bfda2c58397bf82b3c6671d039184bef18,100
b65d52ce15a725465ae4c7c89a1d298f3a65ee7fc911e34bccf73e209a085f17,100
2c3bdba33400db6f894b3f8549cf7d86b3f7fcd98847de7e7f546c2c96a79d56,100
cf0e9a7bcc4d621c7934616931dc922277c056caa69e1643899a7526d1fc2e7b,100
23c1dc4e864854fc8594d402c25d1f2386ebab07b842371f0835832526d4e3cf,100
cacaba320a0a2a6ff8495893f5ab702be64900065708a6495bb520cbeed2e977,100
